date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:12:13	164239/164239	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Jun%202025%2010:42:14%20GMT	https://propeltech.co.uk/	D:/Jude%20Self%20Studies/nexClone/propeltech.co.uk/index.html	(from )
16:12:13	175/175	---M-Z	200	added ('OK')	text/plain	etag:%221d92a8e673e50c2%22	https://propeltech.co.uk/robots.txt		(from )
16:12:13	115114/115114	---M-Z	200	added ('OK')	text/css	etag:%22146e4f0e%22	https://propeltech.co.uk/sb/propel-css.css.v638835566085051560	D:/Jude%20Self%20Studies/nexClone/propeltech.co.uk/sb/propel-css.css.css	(from https://propeltech.co.uk/)
16:12:13	694/694	---M-Z	200	added ('OK')	text/css	etag:%2231358bff%22	https://propeltech.co.uk/sb/propel-fonts.css.v638835566085051560	D:/Jude%20Self%20Studies/nexClone/propeltech.co.uk/sb/propel-fonts.css.css	(from https://propeltech.co.uk/)
16:12:13	15406/15406	---MCZ	200	added ('OK')	image/x-icon	etag:W/%221d832651c94672e%22	https://propeltech.co.uk/assets/favicon.ico	D:/Jude%20Self%20Studies/nexClone/propeltech.co.uk/assets/favicon.ico	(from https://propeltech.co.uk/)
16:12:14	5459/5459	---M--	200	added ('OK')	image/png	etag:%221d8190c6ad3fbcf%22	https://propeltech.co.uk/assets/images/favicon/apple-touch-icon.png	D:/Jude%20Self%20Studies/nexClone/propeltech.co.uk/assets/images/favicon/apple-touch-icon.png	(from https://propeltech.co.uk/)
16:12:14	847/847	---M--	200	added ('OK')	image/png	etag:%221d8190c6ad3dd8c%22	https://propeltech.co.uk/assets/images/favicon/favicon-32x32.png	D:/Jude%20Self%20Studies/nexClone/propeltech.co.uk/assets/images/favicon/favicon-32x32.png	(from https://propeltech.co.uk/)
16:12:14	454/454	---M--	200	added ('OK')	image/png	etag:%221d8190c6ad3dae4%22	https://propeltech.co.uk/assets/images/favicon/favicon-16x16.png	D:/Jude%20Self%20Studies/nexClone/propeltech.co.uk/assets/images/favicon/favicon-16x16.png	(from https://propeltech.co.uk/)
16:12:15	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2005%20Jun%202025%2010:42:16%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/Jude%20Self%20Studies/nexClone/www.googletagmanager.com/gtm.65445.delayed	(from https://propeltech.co.uk/)
16:12:15	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Thu,%2005%20Jun%202025%2010:42:16%20GMT	https://propeltech.co.uk/cdn-cgi/zaraz/s.js?z=	D:/Jude%20Self%20Studies/nexClone/propeltech.co.uk/cdn-cgi/zaraz/sd0d9.js	(from https://propeltech.co.uk/)
